x,y,score,color
2816,21760,0.8460569008200951,#e7d738
2816,22272,0.8277678467989773,#65fc68
2816,22784,0.8543338282034566,#fda330
2816,23296,0.8178663480680451,#1de7b1
2816,23808,0.7858735606362032,#4666dd
2816,24320,0.8436197822745434,#dae236
2816,24832,0.8195591562936417,#24eca6
2816,25344,0.8732183541686265,#b11901
2816,25856,0.7690488813801885,#3b2f7f
3328,20736,0.7175670491649981,#30123b
3328,21248,0.8190563447377038,#22eba9
3328,21760,0.8098394426398993,#1dcbda
3328,22272,0.8354287790641646,#a4fc3b
3328,22784,0.8316762314628949,#87fe4d
3328,23296,0.8352283023686078,#a4fc3b
3328,23808,0.8764397049886333,#940c01
3328,24320,0.8434368983887719,#d8e335
3328,24832,0.8458489973108341,#e7d738
3328,25344,0.8767909934869887,#910b01
3328,25856,0.8334413812753549,#98fe42
3328,26368,0.8697053591044747,#cb2b03
3328,26880,0.6267028359219201,#30123b
3840,19712,0.7589826252475421,#341b51
3840,20224,0.8313899331292394,#84fe50
3840,20736,0.8239395903434559,#42f687
3840,21248,0.8231964524409484,#3bf48d
3840,21760,0.841385989505979,#cdeb34
3840,22272,0.8357401530236187,#a6fb3a
3840,22784,0.8605072150602737,#f76e1a
3840,23296,0.8671440878459339,#db3a07
3840,23808,0.868269289643013,#d63405
3840,24320,0.8642169986882445,#e94d0d
3840,24832,0.8466025195265716,#ead339
3840,25344,0.8478971739556429,#efcd39
3840,25856,0.8742799444324825,#a91501
3840,26368,0.8277021114954636,#65fc68
3840,26880,0.8450782992608064,#e3da37
4352,18688,0.5765449284575956,#30123b
4352,19200,0.8191989646462146,#22eba9
4352,19712,0.8753937396246055,#9d1001
4352,20224,0.8617015330014571,#f36315
4352,20736,0.8477790507295674,#efcd39
4352,21248,0.8444595908739335,#dfde36
4352,21760,0.8674040509654698,#db3a07
4352,22272,0.877482680402819,#870801
4352,22784,0.8779792389647108,#840701
4352,23296,0.8773260861524732,#8b0901
4352,23808,0.8750012502337863,#a31201
4352,24320,0.8714812231420602,#c02302
4352,24832,0.8750667890222191,#a01101
4352,25344,0.8765817919490219,#910b01
4352,25856,0.8766885120350425,#910b01
4352,26368,0.8717975874609982,#be2102
4352,26880,0.873074238331027,#b41b01
4352,27392,0.844831801761931,#e1dc37
4864,18176,0.7597326570404814,#341b51
4864,18688,0.8452969113944512,#e3da37
4864,19200,0.8547703095420891,#fe9e2e
4864,19712,0.8490121575953617,#f3c63a
4864,20224,0.8528658423181401,#fcae34
4864,20736,0.8708446441763283,#c52602
4864,21248,0.8756189012587183,#9d1001
4864,21760,0.8774044509191472,#8b0901
4864,22272,0.8780252404177381,#840701
4864,22784,0.8775886942672695,#870801
4864,23296,0.8778855934428231,#840701
4864,23808,0.8782576896369085,#810602
4864,24320,0.8722792931365586,#b91e01
4864,24832,0.8744213754865019,#a61401
4864,25344,0.8763270389644172,#940c01
4864,25856,0.8762251712147969,#970d01
4864,26368,0.8700561274377622,#c92903
4864,26880,0.868339008704899,#d63405
4864,27392,0.7306664682620417,#30123b
4864,27904,0.6079515967568339,#30123b
5376,17664,0.8704398125426646,#c72803
5376,18176,0.8501867675313333,#f8be39
5376,18688,0.8782619548973174,#810602
5376,19200,0.8552624441725302,#fe9b2d
5376,19712,0.8421259731762396,#d1e834
5376,20224,0.8751672359065983,#a01101
5376,20736,0.8770727415421062,#8e0a01
5376,21248,0.8764313769774412,#940c01
5376,21760,0.8771769758073611,#8b0901
5376,22272,0.8774802725124439,#870801
5376,22784,0.8792620294764668,#7a0402
5376,23296,0.8761249651424372,#970d01
5376,23808,0.8777898567908364,#840701
5376,24320,0.8760587136001384,#970d01
5376,24832,0.8764673339631834,#940c01
5376,25344,0.875756274644235,#9a0e01
5376,25856,0.876321723763773,#940c01
5376,26368,0.8715231180441806,#c02302
5376,26880,0.8727971916790684,#b61c01
5376,27392,0.8736222142906138,#ae1801
5376,27904,0.5641405962368924,#30123b
5888,17152,0.8643145640166875,#e94d0d
5888,17664,0.8436580520832667,#dae236
5888,18176,0.8753092008301404,#a01101
